Classification Id,Currency ISO Code,Default,Default Quantity,Max Quantity,Min Quantity,Modifiable,Sequence,Apttus_Config2__ClassificationId__r.Name,Apttus_Config2__ProductId__r.Product Name
"CP-0000017247","CHF","false","1.0","1.0","0.0","true","","Bristol Insurance","Travel Insurance Sport"
"CP-0000017248","CHF","false","1.0","1.0","0.0","true","","Chicago Insurance","Travel Insurance Sport"
"CP-0000017249","CHF","false","1.0","1.0","0.0","true","","Costa Rica Insurance","Travel Insurance Sport"
"CP-0000017250","CHF","false","1.0","1.0","0.0","true","","Dublin Insurance","Travel Insurance Sport"
"CP-0000017251","CHF","false","1.0","1.0","0.0","true","","Honolulu Insurance","Travel Insurance Sport"
"CP-0000017252","CHF","false","1.0","1.0","0.0","true","","London Insurance","Travel Insurance Sport"
"CP-0000017253","CHF","false","1.0","1.0","0.0","true","","Malta St. Julian's Insurance","Travel Insurance Sport"
"CP-0000017254","CHF","false","1.0","1.0","0.0","true","","Miami Insurance","Travel Insurance Sport"
"CP-0000017255","CHF","false","1.0","1.0","0.0","true","","Oxford Insurance","Travel Insurance Sport"
"CP-0000017256","CHF","false","1.0","1.0","0.0","true","","Paris Insurance","Travel Insurance Sport"
"CP-0000017257","CHF","false","1.0","1.0","0.0","true","","Saint Raphaël Insurance","Travel Insurance Sport"
"CP-0000017258","CHF","false","1.0","1.0","0.0","true","","San Diego Point Loma Insurance","Travel Insurance Sport"
"CP-0000017259","CHF","false","1.0","1.0","0.0","true","","San Francisco Down Town Insurance","Travel Insurance Sport"
"CP-0000017260","CHF","false","1.0","1.0","0.0","true","","Santa Barbara Insurance","Travel Insurance Sport"
"CP-0000017261","CHF","false","1.0","1.0","0.0","true","","Singapore Insurance","Travel Insurance Sport"
"CP-0000017262","CHF","false","1.0","1.0","0.0","true","","Bournemouth Other","UK Tier 4 Student Visa"
"CP-0000017263","CHF","false","1.0","1.0","0.0","true","","Bournemouth Accommodation","Union House Single"
"CP-0000017264","CHF","false","1.0","1.0","0.0","true","","Bournemouth Accommodation","Union House Single Extra Night"
"CP-0000017265","CHF","false","1.0","1.0","0.0","true","","Santa Barbara Other","Universal Studios and Disneyland"
"CP-0000017266","CHF","false","1.0","1.0","0.0","true","","London Accommodation","Urbanest Kings Cross ILSH Single"
"CP-0000017267","CHF","false","1.0","1.0","0.0","true","","London Accommodation","Urbanest Kings Cross ILSH Single Extra Night"
"CP-0000017268","CHF","false","1.0","1.0","0.0","true","","London Accommodation","Urbanest Kings Cross LSP Single"
"CP-0000017269","CHF","false","1.0","1.0","0.0","true","","London Accommodation","Urbanest Kings Cross LSP Single Extra Night"
