APTS Ext ID,Currency ISO Code,Description,Dimension 1 Value Type,Dimension 2 Value Type,Dimension 3 Value Type,Dimension 4 Value Type,Dimension 5 Value Type,Dimension 6 Value Type,Enable Date Range,Enable Usage Indexing,Export Price List Item Name,Export Price List Name,Initial Rows,Is Cumulative Range (Deprecated),Matrix Id,Matrix Type,Number Of Entries,Sequence,Stop Processing More Matrices,Apttus_Config2__PriceListItemId__r.APTS Migration Ext ID,Apttus_Config2__PriceListItemId__r.Item Id,Apttus_Config2__Dimension1Id__r.Dimension Name,Apttus_Config2__Dimension2Id__r.Dimension Name,Apttus_Config2__Dimension3Id__r.Dimension Name,Apttus_Config2__Dimension4Id__r.Dimension Name,Apttus_Config2__Dimension5Id__r.Dimension Name,Apttus_Config2__Dimension6Id__r.Dimension Name
464,CHF,,Discrete,,,,,,FALSE,FALSE,Semester - AD Media & Art - September,AY NOO 2018 V1 NOK,5,FALSE,PM-0000000290,Dimension,4,1,FALSE,3920,PI-0000006297,Destination Code,,,,,
465,CHF,,Discrete,,,,,,FALSE,FALSE,University Foundation Year Extra Extended - Jan,AY NOO 2018 V1 NOK,5,FALSE,PM-0000000291,Dimension,1,1,FALSE,3815,PI-0000006160,Destination Code,,,,,
466,CHF,,Discrete,,,,,,FALSE,FALSE,University Foundation Year Extra Extended - April,AY NOO 2018 V1 NOK,5,FALSE,PM-0000000292,Dimension,6,1,FALSE,3817,PI-0000006162,Destination Code,,,,,
467,CHF,,Discrete,,,,,,FALSE,FALSE,University Foundation Year Extra Extended - June,AY NOO 2018 V1 NOK,5,FALSE,PM-0000000293,Dimension,6,1,FALSE,3816,PI-0000006161,Destination Code,,,,,
468,CHF,,Discrete,,,,,,FALSE,FALSE,University Foundation Year Extra Extended,AY NOO 2018 V1 NOK,5,FALSE,PM-0000000294,Dimension,6,1,FALSE,3818,PI-0000006163,Destination Code,,,,,
469,CHF,,Discrete,,,,,,FALSE,FALSE,University Foundation Year - January,AY NOO 2018 V1 NOK,5,FALSE,PM-0000000295,Dimension,10,1,FALSE,3819,PI-0000006164,Destination Code,,,,,
470,CHF,,Discrete,,,,,,FALSE,FALSE,University Foundation Year - April,AY NOO 2018 V1 NOK,5,FALSE,PM-0000000296,Dimension,7,1,FALSE,3857,PI-0000006205,Destination Code,,,,,
471,CHF,,Discrete,,,,,,FALSE,FALSE,University Foundation Year - June,AY NOO 2018 V1 NOK,5,FALSE,PM-0000000297,Dimension,1,1,FALSE,3858,PI-0000006206,Destination Code,,,,,
472,CHF,,Discrete,,,,,,FALSE,FALSE,University Foundation Year - September,AY NOO 2018 V1 NOK,5,FALSE,PM-0000000298,Dimension,10,1,FALSE,3859,PI-0000006207,Destination Code,,,,,
473,CHF,,Discrete,,,,,,FALSE,FALSE,Year - ACDP - January,AY NOO 2018 V1 NOK,5,FALSE,PM-0000000299,Dimension,3,1,FALSE,3860,PI-0000006208,Destination Code,,,,,
474,CHF,,Discrete,,,,,,FALSE,FALSE,Year - Exam - January,AY NOO 2018 V1 NOK,5,FALSE,PM-0000000300,Dimension,42,1,FALSE,3861,PI-0000006209,Destination Code,,,,,
475,CHF,,Discrete,,,,,,FALSE,FALSE,Academic Year - General - January,AY NOO 2018 V1 NOK,5,FALSE,PM-0000000301,Dimension,39,1,FALSE,3862,PI-0000006210,Destination Code,,,,,
476,CHF,,Discrete,,,,,,FALSE,FALSE,Academic Year - Intensive - January,AY NOO 2018 V1 NOK,5,FALSE,PM-0000000302,Dimension,42,1,FALSE,5223,PI-0000006211,Destination Code,,,,,
477,CHF,,Discrete,,,,,,FALSE,FALSE,Year - AD Media & Art - January,AY NOO 2018 V1 NOK,5,FALSE,PM-0000000303,Dimension,4,1,FALSE,4154,PI-0000006212,Destination Code,,,,,
478,CHF,,Discrete,,,,,,FALSE,FALSE,Year - AD Business English - January,AY NOO 2018 V1 NOK,5,FALSE,PM-0000000304,Dimension,8,1,FALSE,4155,PI-0000006213,Destination Code,,,,,
479,CHF,,Discrete,,,,,,FALSE,FALSE,Year - AD Fashion & Design - January,AY NOO 2018 V1 NOK,5,FALSE,PM-0000000305,Dimension,3,1,FALSE,4156,PI-0000006214,Destination Code,,,,,
480,CHF,,Discrete,,,,,,FALSE,FALSE,Year - AD International Affairs - January,AY NOO 2018 V1 NOK,5,FALSE,PM-0000000306,Dimension,3,1,FALSE,4157,PI-0000006215,Destination Code,,,,,
