"ID","OWNERID","ISDELETED","NAME","CURRENCYISOCODE","CREATEDDATE","CREATEDBYID","LASTMODIFIEDDATE","LASTMODIFIEDBYID","SYSTEMMODSTAMP","LASTACTIVITYDATE","LASTVIEWEDDATE","LASTREFERENCEDDATE","APTSEXTID__C","COUNTRY__C","DESTINATIONCODE__C","ENDDATEOFFSET__C","LANGUAGE__C","STARTDATEOFFSET__C","ISLT__C","GROUPEDLTDESTINATIONNAME__C"
"a5m7E000000CfWzQAK","0057E000004AesfQAC","false","Cape Town","CHF","2018-02-06T19:14:32.000Z","0057E000004AesfQAC","2018-02-06T19:14:32.000Z","0057E000004AesfQAC","2018-02-06T19:14:32.000Z","","","","","ZA","ZA-CAP","1.0","English","-1.0","false",""
"a5m7E000000CfX0QAK","0057E000004AesfQAC","false","Clare College","CHF","2018-02-06T19:14:32.000Z","0057E000004AesfQAC","2018-02-06T19:14:32.000Z","0057E000004AesfQAC","2018-02-06T19:14:32.000Z","","","","","GB","GB-CAC","1.0","English","-1.0","false",""
"a5m7E000000CfX1QAK","0057E000004AesfQAC","false","Dublin","CHF","2018-02-06T19:14:32.000Z","0057E000004AesfQAC","2018-02-06T19:14:32.000Z","0057E000004AesfQAC","2018-02-06T19:14:32.000Z","","","","","IE","IE-DUB","1.0","English","-1.0","false",""
"a5m7E000000CfX2QAK","0057E000004AesfQAC","false","Eastbourne","CHF","2018-02-06T19:14:32.000Z","0057E000004AesfQAC","2018-02-06T19:14:32.000Z","0057E000004AesfQAC","2018-02-06T19:14:32.000Z","","","","","GB","GB-EAS","1.0","English","-1.0","false",""
"a5m7E000000CfX3QAK","0057E000004AesfQAC","false","Honolulu","CHF","2018-02-06T19:14:32.000Z","0057E000004AesfQAC","2018-02-06T19:14:32.000Z","0057E000004AesfQAC","2018-02-06T19:14:32.000Z","","","","","US","US-HNL","1.0","English","-1.0","false",""
"a5m7E000000CfX4QAK","0057E000004AesfQAC","false","Madrid","CHF","2018-02-06T19:14:32.000Z","0057E000004AesfQAC","2018-02-06T19:14:32.000Z","0057E000004AesfQAC","2018-02-06T19:14:32.000Z","","","","","ES","ES-MAD","1.0","Spanish","-1.0","false",""
"a5m7E000000CfXqQAK","0057E000003Lh0tQAC","false","Nice Homestay","NOK","2018-02-08T10:54:46.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","","","","","FR","FR-NIC-LT","1.0","French","-1.0","true","Nice"
"a5m7E000000CfXrQAK","0057E000003Lh0tQAC","false","Paris Homestay","NOK","2018-02-08T10:54:46.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","","","","","FR","FR-PAR-LT","1.0","French","-1.0","true","Paris"
"a5m7E000000CfXsQAK","0057E000003Lh0tQAC","false","Nice Residence","NOK","2018-02-08T10:54:46.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","","","","","FR","FR-NIR-LT","1.0","French","-1.0","true","Nice"
"a5m7E000000CfXtQAK","0057E000003Lh0tQAC","false","Paris Residence","NOK","2018-02-08T10:54:46.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","","","","","FR","FR-PAC-LT","1.0","French","-1.0","true","Paris"
"a5m7E000000CfXuQAK","0057E000003Lh0tQAC","false","Saint Raphaël Residence","NOK","2018-02-08T10:54:46.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","","","","","FR","FR-SRR-LT","1.0","French","-1.0","true","Saint Raphael"
"a5m7E000000CfXvQAK","0057E000003Lh0tQAC","false","St Raphael Homestay","NOK","2018-02-08T10:54:46.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","","","","","FR","FR-STR-LT","1.0","French","-1.0","true","St Raphael"
"a5m7E000000CfXwQAK","0057E000003Lh0tQAC","false","Munich Homestay","NOK","2018-02-08T10:54:46.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","","","","","DE","DE-MUN-LT","1.0","German","-1.0","true","Munich"
"a5m7E000000CfXxQAK","0057E000003Lh0tQAC","false","Berlin Residence","NOK","2018-02-08T10:54:46.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","","","","","DE","DE-BEC-LT","1.0","German","-1.0","true","Berlin"
"a5m7E000000CfXyQAK","0057E000003Lh0tQAC","false","Lindau Homestay","NOK","2018-02-08T10:54:46.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","0057E000003Lh0tQAC","2018-02-08T11:09:29.000Z","","","","","DE","DE-LIN-LT","1.0","German","-1.0","true","Lindau"
"a5m7E000000CfXEQA0","0057E000004AesfQAC","false","Seoul","CHF","2018-02-06T19:14:32.000Z","0057E000004AesfQAC","2018-02-06T19:14:32.000Z","0057E000004AesfQAC","2018-02-06T19:14:32.000Z","","","","","KR","KR-SEL","1.0","Korean","-1.0","false",""
"a5m7E000000CfXFQA0","0057E000004AesfQAC","false","Shanghai","CHF","2018-02-06T19:14:32.000Z","0057E000004AesfQAC","2018-02-06T19:14:32.000Z","0057E000004AesfQAC","2018-02-06T19:14:32.000Z","","","","","CN","CN-SHA","1.0","Chinese","-1.0","false",""
"a5m7E000000CfXGQA0","0057E000004AesfQAC","false","Sydney","CHF","2018-02-06T19:14:32.000Z","0057E000004AesfQAC","2018-02-06T19:14:32.000Z","0057E000004AesfQAC","2018-02-06T19:14:32.000Z","","","","","AU","AU-SYD","1.0","English","-1.0","false",""
