Currency ISO Code,Ratio,Sequence,Apttus_Config2__ProductGroupId__r.Group Name,Apttus_Config2__ProductId__r.Product Name
"CHF","","136.0","AY Courses","Year - AD Fashion & Design & Exam - September"
"CHF","","137.0","AY Courses","Extra Extended Year - Pre Master - September"
"CHF","","138.0","AY Courses","Year Extended - Pre Master BA - January"
"CHF","","139.0","AY Courses","Year Extended  - Pre Master BA - April"
"CHF","","140.0","AY Courses","Year Extended - Pre MBA - June"
"CHF","","141.0","AY Courses","Year Extended - Pre Master BA - September"
"CHF","","142.0","AY Courses","Extra Extended Year - Pre Master BA - January"
"CHF","","143.0","AY Courses","Extra Extended Year - Pre Master BA - April"
"CHF","","144.0","AY Courses","Extra Extended Year - Pre MBA - June"
"CHF","","145.0","AY Courses","Extra Extended Year - Pre Master BA - September"
"CHF","","146.0","AY Courses","Semester - ACDP - January"
"CHF","","147.0","AY Courses","Semester - Exam - January"
"CHF","","148.0","AY Courses","Semester - General - January"
"CHF","","149.0","AY Courses","Semester - AD Media & Art - January"
"CHF","","150.0","AY Courses","Semester - AD Business English - January"
"CHF","","151.0","AY Courses","Year - AD Media & Art - April"
"CHF","","152.0","AY Courses","Year - AD Hotel & Tourism - April"
"CHF","","153.0","AY Courses","Year - Pre Master Business Administration - April"
"CHF","","154.0","AY Courses","Academic Year - Intensive - June"
"CHF","","155.0","AY Courses","Year Extended - Diploma in Business & Management - June"
"CHF","","156.0","AY Courses","Extra Extended Year - Diploma in Business & Management - April"
"CHF","","157.0","AY Courses","Year Extended - Pre Master - January"
"CHF","","158.0","AY Courses","Diploma in Business and Management - August"
"CHF","","159.0","AY Courses","Year Extended - Pre Master - September"
"CHF","","160.0","AY Courses","Year - AD Media & Art - January"
"CHF","","161.0","AY Courses","Year - AD Business English - January"
"CHF","","162.0","AY Courses","Year - AD Hotel & Tourism - January"
"CHF","","163.0","AY Courses","Year - Pre Master – January"
"CHF","","164.0","AY Courses","Year - Pre Master Business Administration - January"
"CHF","","165.0","AY Courses","Academic Year - General - April"
"CHF","","166.0","AY Courses","Year Extended - Pre Master - April"
"CHF","","167.0","AY Courses","Semester - ACDP - June"
"CHF","","168.0","AY Courses","Semester - Exam - June"
"CHF","","169.0","AY Courses","Semester - Intensive - June"
"CHF","","170.0","AY Courses","Semester - AD Media & Art - June"
"CHF","","171.0","AY Courses","Semester - AD Business English - June"
"CHF","","172.0","AY Courses","Semester - AD Fashion & Design - June"
