Adjustment Heading,Articles Heading,Code Heading,Comments Heading,Course Description Heading,Currency ISO Code,Description Translation,Discount Heading,Duration Heading,General heading,GeneralInfo Translation,Grand Total Heading,Incentive,Incentive Heading,Initial Price Heading,Insurance Heading,Language,Lessons Descriptions Translation,Market,No of Weeks Heading,Optional Heading,Price Heading,Product,Product Name Translation,Promotions Heading,Total Heading,Transalation Name,Unique Record Identifier,Valid Until Heading,RecordType.Name,Incentive__r.Incentive Name,Product__r.Product Name
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTAvQAM","EF International House Twin","","","T-1629","FRP FR REST-INMI","","Product Translation","","EF International House Twin Miami"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTMgQAM","EF International House Twin","","","T-1630","FRP FR REST-INOX","","Product Translation","","EF International House Twin Oxford"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTAwQAM","Victoria International House Twin","","","T-1631","FRP FR REST-INVI","","Product Translation","","Victoria International House Twin"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTAxQAM","EF International House Twin","","","T-1632","FRP FR REST-INWA","","Product Translation","","EF International House Twin Washington"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTjmQAE","JBs Campus Twin","","","T-1633","FRP FR REST-JBSC","","Product Translation","","JBs Campus Twin"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTjrQAE","Kalo Terrace Twin","","","T-1634","FRP FR REST-KALO","","Product Translation","","Kalo Terrace Twin"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTjxQAE","King Square Studios Twin","","","T-1635","FRP FR REST-KING","","Product Translation","","King Square Studios Twin"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTjzQAE","King Square Studios Twin Superior","","","T-1636","FRP FR REST-KINGS","","Product Translation","","King Square Studios Twin Superior"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTAzQAM","Lady Hamilton Twin","","","T-1637","FRP FR REST-LADY","","Product Translation","","Lady Hamilton Twin"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTB0QAM","Le Scribe Twin","","","T-1638","FRP FR REST-LESC","","Product Translation","","Le Scribe Twin"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTB1QAM","Link2 Residence Twin","","","T-1639","FRP FR REST-LINK","","Product Translation","","Link2 Residence Twin"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTBAQA2","Huiyuan Residence Twin","","","T-1640","FRP FR REST-MAND","","Product Translation","","Huiyuan Residence Twin"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTbxQAE","Mansfield Twin","","","T-1641","FRP FR REST-MANF","","Product Translation","","Mansfield Twin"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTbtQAE","Mansfield Junior Residence Twin","","","T-1642","FRP FR REST-MANJ","","Product Translation","","Mansfield Junior Residence Twin"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTBCQA2","Miami Summer Residence II Twin","","","T-1643","FRP FR REST-MSUR","","Product Translation","","Miami Summer Residence II Twin"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTBDQA2","Hotel Mühltahler Twin","","","T-1644","FRP FR REST-MUHL","","Product Translation","","Hotel MÃ¼hltahler Twin"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTc6QAE","Nanyang Summer Junior Residence Twin","","","T-1645","FRP FR REST-NANY","","Product Translation","","Nanyang Summer Junior Residence Twin"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTBEQA2","National Junior College Twin","","","T-1646","FRP FR REST-NJUC","","Product Translation","","National Junior College Twin"
"","","","","","CHF","","","","","","","","","","","FR","","FRP","","","","01t6E000001kTBFQA2","EF College Campus Twin","","","T-1647","FRP FR REST-NYCC","","Product Translation","","EF College Campus Twin New York"
