Active,Category Label,Category Name,Currency ISO Code,Guide Page,Type
"true","Manchester Courses","Manchester Courses","CHF","","Option Group"
"true","Manchester Accommodation","Manchester Accommodation","CHF","","Option Group"
"true","Manchester Insurance","Manchester Insurance","CHF","","Option Group"
"true","Manchester Travel","Manchester Travel","CHF","","Option Group"
"true","Manchester Other","Manchester Other","CHF","","Option Group"
"true","Munich Courses","Munich Courses","CHF","","Option Group"
"true","Munich Accommodation","Munich Accommodation","CHF","","Option Group"
"true","Munich Insurance","Munich Insurance","CHF","","Option Group"
"true","Munich Travel","Munich Travel","CHF","","Option Group"
"true","Munich Other","Munich Other","CHF","","Option Group"
"true","New York Courses","New York Courses","CHF","","Option Group"
"true","New York Accommodation","New York Accommodation","CHF","","Option Group"
"true","New York insurance","New York insurance","CHF","","Option Group"
"true","New York Travel","New York Travel","CHF","","Option Group"
"true","Nice Courses","Nice Courses","CHF","","Option Group"
"true","Nice Accommodation","Nice Accommodation","CHF","","Option Group"
"true","Nice Insurance","Nice Insurance","CHF","","Option Group"
"true","Nice Travel","Nice Travel","CHF","","Option Group"
"true","Nice Other","Nice Other","CHF","","Option Group"
"true","Eastbourne Accommodation","Eastbourne Accommodation","CHF","","Option Group"
"true","Clare College Travel","Clare College Travel","CHF","","Option Group"
"true","Clare College Other","Clare College Other","CHF","","Option Group"
"true","Eastbourne Courses","Eastbourne Courses","CHF","","Option Group"
"true","Barcelona Insurance","Barcelona Insurance","CHF","","Option Group"
"true","Eastbourne Insurance","Eastbourne Insurance","CHF","","Option Group"
"true","Eastbourne Travel","Eastbourne Travel","CHF","","Option Group"
"true","Eastbourne Other","Eastbourne Other","CHF","","Option Group"
"true","Madrid Courses","Madrid Courses","CHF","","Option Group"
"true","Madrid Accommodation","Madrid Accommodation","CHF","","Option Group"
"true","Madrid Insurance","Madrid Insurance","CHF","","Option Group"
"true","Malaga Accommodation","Malaga Accommodation","CHF","","Option Group"
"true","Seattle Insurance","Seattle Insurance","CHF","","Option Group"
"true","Seattle Travel","Seattle Travel","CHF","","Option Group"
"true","Seattle Other","Seattle Other","CHF","","Option Group"
"true","Seoul Courses","Seoul Courses","CHF","","Option Group"
"true","Seoul Accommodation","Seoul Accommodation","CHF","","Option Group"
"true","New York Other","New York Other","CHF","","Option Group"
"true","Seoul Insurance","Seoul Insurance","CHF","","Option Group"
"true","Seoul Travel","Seoul Travel","CHF","","Option Group"
"true","Seoul Other","Seoul Other","CHF","","Option Group"
