Active,Actual Icon Size,Available Programs,AY Course Type,Bundle Invoice Level,Configuration Type,Course Pricing,Currency ISO Code,Destination Location,Discontinued Date,Effective Date,Effective Start Date,Enable Start Date & End Date,Exclude From Sitemap,Expiration Date,Has Attributes,Has Defaults,Has Options,Has Search Attributes,Is Optional,Launch Date,Must Configure,Price Override Allowed,Product Code,Product Description,Product Family,Product Name,Product Subtype,Product Type,Qunatity Modifiable,TI Pricing,Uom,Version
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","OPSFMMFD","","","Six Flags Magic Mountain","Optional Excursions","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","OPSFNEFD","","","Six Flags New England","Optional Excursions","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","OPSFO","","","San Francisco Excursion","Optional Excursions","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","OPSFOWE","","","San Francisco Weekend Excursion","Optional Excursions","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","OPSFUSAFD","","","Six Flags America","Activities","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","OPSTONE","","","Stonehenge & Salisbury Full Day","Optional Excursions","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","OPSTTROP","","","St Tropez Full Day","Activities","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","true","false","false","false","false","","false","false","REST-REDM","","Accommodation","Red Monkey Lodge Twin","Residence","Accommodation","true","false","Week","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","true","false","false","false","false","","false","false","RESTX-REDM","","Accommodation","Red Monkey Lodge Twin Extra Night","Residence Extra Night","Accommodation","true","false","Day","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","true","false","false","false","false","","false","false","REST-REMM","","Accommodation","Red Monkey Manor Twin Room","Residence","Accommodation","true","false","Week","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","true","false","false","false","false","","false","false","RESTX-REMM","","Accommodation","Red Monkey Manor Twin Room Extra Night","Residence Extra Night","Accommodation","true","false","Day","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","true","false","false","false","false","","false","false","RESM-ROCA","","Accommodation","Roca Multi","Residence","Accommodation","true","false","Week","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","true","false","false","false","false","","false","false","RESMX-ROCA","","Accommodation","Roca Multi Extra Night","Residence Extra Night","Accommodation","true","false","Day","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","false","false","false","false","false","","false","false","AP2BST","","","Rock Climbing","Sports Options","Other","true","false","Each","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","true","false","false","false","false","","false","false","RESS-RKLD","","Accommodation","Rockland Residence Single","Residence","Accommodation","true","false","Week","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","true","false","false","false","false","","false","false","RESSX-RKLD","","Accommodation","Rockland Residence Single Extra Night","Residence Extra Night","Accommodation","true","false","Day","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","true","false","false","false","false","","false","false","REST-RKLD","","Accommodation","Rockland Residence Twin","Residence","Accommodation","true","false","Week","1.0"
"true","","","","","Option","false","CHF","","","","","true","false","","true","false","false","false","false","","false","false","RESTX-RKLD","","Accommodation","Rockland Residence Twin Extra Night","Residence Extra Night","Accommodation","true","false","Day","1.0"
"true","","AY;AYP","PMBA","","Option","false","CHF","","","","","true","false","","true","false","false","false","false","","false","false","SE01PMBA","","Course","Semester - Pre MBA - January","","Course","false","false","Each","1.0"
